movie,imdb_ratings,metascore,votes,category,genres1,genres2,genres3,stars1,stars2,stars3,nb_oscar,win,nom,runtime,budget,gross,years
Mad Max: Fury Road,8.1,90.0,845766.0,1.0,Action,Adventure,Sci-Fi,Tom Hardy,Charlize Theron,Nicholas Hoult,6.0,236.0,236228.0,120.0,150000000.0,375209362.0,2015
Star Wars: Episode VII - The Force Awakens,7.9,80.0,840040.0,3.0,Action,Adventure,Sci-Fi,Daisy Ridley,John Boyega,Oscar Isaac,5.0,62.0,62126.0,138.0,245000000.0,2068223624.0,2015
The Martian,8.0,80.0,733165.0,3.0,Adventure,Drama,Sci-Fi,Matt Damon,Jessica Chastain,Kristen Wiig,7.0,40.0,40188.0,144.0,108000000.0,630161890.0,2015
Avengers: Age of Ultron,7.3,66.0,716000.0,3.0,Action,Adventure,Sci-Fi,Robert Downey Jr.,Chris Evans,Mark Ruffalo,0.0,8.0,47.0,141.0,250000000.0,1402805868.0,2015
The Revenant,8.0,76.0,677192.0,1.0,Action,Adventure,Biography,Leonardo DiCaprio,Tom Hardy,Will Poulter,3.0,87.0,87186.0,156.0,135000000.0,532950503.0,2015
Inside Out,8.1,94.0,585263.0,2.0,Animation,Adventure,Comedy,Amy Poehler,Bill Hader,Lewis Black,1.0,97.0,97114.0,95.0,175000000.0,857611174.0,2015
Jurassic World,7.0,59.0,565339.0,3.0,Action,Adventure,Sci-Fi,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,0.0,15.0,57.0,124.0,150000000.0,1670400637.0,2015
Ant-Man,7.3,64.0,547698.0,3.0,Action,Adventure,Comedy,Paul Rudd,Michael Douglas,Corey Stoll,1.0,4.0,433.0,117.0,130000000.0,519311965.0,2015
The Hateful Eight,7.8,68.0,492098.0,1.0,Crime,Drama,Mystery,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,1.0,40.0,40115.0,168.0,44000000.0,155760117.0,2015
Spotlight,8.1,93.0,400622.0,1.0,Biography,Crime,Drama,Mark Ruffalo,Michael Keaton,Rachel McAdams,2.0,123.0,123141.0,129.0,20000000.0,98690254.0,2015
Spectre,6.8,60.0,373333.0,3.0,Action,Adventure,Thriller,Daniel Craig,Christoph Waltz,Léa Seydoux,1.0,7.0,734.0,148.0,245000000.0,880674609.0,2015
Sicario,7.6,82.0,355954.0,1.0,Action,Crime,Drama,Emily Blunt,Josh Brolin,Benicio Del Toro,3.0,15.0,15151.0,121.0,30000000.0,84872444.0,2015
Room,8.1,86.0,351343.0,1.0,Drama,Thriller,Thriller,Brie Larson,Jacob Tremblay,Sean Bridgers,1.0,104.0,104140.0,118.0,13000000.0,35401758.0,2015
Furious 7,7.1,67.0,351018.0,3.0,Action,Adventure,Thriller,Vin Diesel,Paul Walker,Dwayne Johnson,1.0,33.0,3334.0,137.0,190000000.0,1515047671.0,2015
The Big Short,7.8,81.0,343346.0,1.0,Biography,Comedy,Drama,Christian Bale,Steve Carell,Ryan Gosling,1.0,37.0,3780.0,130.0,28000000.0,133440870.0,2015
Mission: Impossible - Rogue Nation,7.4,75.0,331415.0,3.0,Action,Adventure,Thriller,Tom Cruise,Rebecca Ferguson,Jeremy Renner,0.0,6.0,24.0,131.0,150000000.0,682714267.0,2015
Fifty Shades of Grey,4.1,46.0,291197.0,1.0,Drama,Romance,Thriller,Dakota Johnson,Jamie Dornan,Jennifer Ehle,1.0,9.0,926.0,125.0,40000000.0,569651467.0,2015
Bridge of Spies,7.6,81.0,278204.0,3.0,Drama,History,Thriller,Tom Hanks,Mark Rylance,Alan Alda,1.0,30.0,30101.0,142.0,40000000.0,165478348.0,2015
The Hunger Games: Mockingjay - Part 2,6.5,65.0,273958.0,3.0,Action,Adventure,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,0.0,16.0,34.0,137.0,160000000.0,658344137.0,2015
The Man from U.N.C.L.E.,7.3,56.0,259167.0,3.0,Action,Adventure,Comedy,Henry Cavill,Armie Hammer,Alicia Vikander,0.0,7.0,5.0,116.0,75000000.0,107045109.0,2015
Terminator Genisys,6.4,38.0,252751.0,3.0,Action,Adventure,Sci-Fi,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,0.0,0.0,9.0,126.0,155000000.0,440603537.0,2015
Creed,7.6,82.0,239799.0,3.0,Drama,Sport,Sport,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,1.0,46.0,4662.0,133.0,35000000.0,173567581.0,2015
Chappie,6.8,41.0,224290.0,1.0,Action,Crime,Drama,Sharlto Copley,Dev Patel,Hugh Jackman,0.0,0.0,3.0,120.0,49000000.0,102811889.0,2015
Spy,7.0,75.0,224279.0,1.0,Action,Comedy,Crime,Melissa McCarthy,Rose Byrne,Jude Law,2.0,6.0,627.0,120.0,65000000.0,235666219.0,2015
Maze Runner: The Scorch Trials,6.3,43.0,214075.0,3.0,Action,Adventure,Sci-Fi,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,0.0,2.0,5.0,131.0,61000000.0,312296056.0,2015
Southpaw,7.4,57.0,211292.0,1.0,Drama,Sport,Sport,Jake Gyllenhaal,Rachel McAdams,Oona Laurence,0.0,0.0,11.0,124.0,30000000.0,91970827.0,2015
Insurgent,6.2,42.0,211141.0,3.0,Action,Adventure,Sci-Fi,Shailene Woodley,Ansel Elgort,Theo James,0.0,3.0,17.0,119.0,110000000.0,297002527.0,2015
Focus,6.6,56.0,209429.0,1.0,Comedy,Crime,Drama,Will Smith,Margot Robbie,Rodrigo Santoro,0.0,0.0,3.0,105.0,50100000.0,158762963.0,2015
The Intern,7.1,51.0,209277.0,3.0,Comedy,Drama,Drama,Robert De Niro,Anne Hathaway,Rene Russo,0.0,1.0,7.0,121.0,35000000.0,194564672.0,2015
The Lobster,7.2,82.0,206545.0,1.0,Comedy,Drama,Romance,Colin Farrell,Rachel Weisz,Jessica Barden,1.0,33.0,3374.0,119.0,4000000.0,15456717.0,2015
Minions,6.4,56.0,206021.0,2.0,Animation,Adventure,Comedy,Sandra Bullock,Jon Hamm,Michael Keaton,1.0,4.0,425.0,91.0,74000000.0,1159398397.0,2015
San Andreas,6.0,43.0,205245.0,3.0,Action,Adventure,Drama,Dwayne Johnson,Carla Gugino,Alexandra Daddario,0.0,2.0,10.0,114.0,110000000.0,473990832.0,2015
Everest,7.1,64.0,191301.0,3.0,Action,Adventure,Biography,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,0.0,1.0,8.0,121.0,55000000.0,203427584.0,2015
The Witch,6.9,83.0,184838.0,1.0,Drama,Horror,Mystery,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,0.0,43.0,67.0,92.0,4000000.0,40423945.0,2015
Ted 2,6.3,48.0,178417.0,1.0,Comedy,Comedy,Comedy,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,0.0,3.0,4.0,115.0,68000000.0,215863606.0,2015
Straight Outta Compton,7.9,72.0,174555.0,1.0,Biography,Drama,History,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,1.0,28.0,2839.0,147.0,28000000.0,201634991.0,2015
Jupiter Ascending,5.3,40.0,174454.0,3.0,Action,Adventure,Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,0.0,4.0,16.0,127.0,176000000.0,183887723.0,2015
Tomorrowland,6.4,60.0,168379.0,2.0,Action,Adventure,Family,George Clooney,Britt Robertson,Hugh Laurie,0.0,2.0,19.0,130.0,190000000.0,209035668.0,2015
Black Mass,6.9,68.0,163422.0,1.0,Biography,Crime,Drama,Johnny Depp,Benedict Cumberbatch,Dakota Johnson,0.0,6.0,24.0,123.0,53000000.0,99775678.0,2015
The Danish Girl,7.1,66.0,157922.0,1.0,Biography,Drama,Romance,Eddie Redmayne,Alicia Vikander,Amber Heard,1.0,31.0,3176.0,119.0,15000000.0,64191523.0,2015
Cinderella,6.9,67.0,153982.0,2.0,Drama,Family,Fantasy,Lily James,Cate Blanchett,Richard Madden,1.0,8.0,836.0,105.0,95000000.0,542351353.0,2015
Legend,6.9,55.0,151675.0,1.0,Biography,Crime,Drama,Tom Hardy,Emily Browning,Taron Egerton,0.0,6.0,10.0,132.0,30000000.0,42972994.0,2015
The Age of Adaline,7.2,51.0,149015.0,3.0,Drama,Fantasy,Romance,Blake Lively,Michiel Huisman,Harrison Ford,0.0,1.0,10.0,112.0,25000000.0,65663276.0,2015
Steve Jobs,7.2,82.0,148659.0,1.0,Biography,Drama,Drama,Michael Fassbender,Kate Winslet,Seth Rogen,2.0,28.0,28110.0,122.0,30000000.0,34441873.0,2015
Fantastic Four,4.3,27.0,147174.0,3.0,Action,Adventure,Sci-Fi,Miles Teller,Kate Mara,Michael B. Jordan,0.0,8.0,4.0,100.0,120000000.0,167882881.0,2015
Pitch Perfect 2,6.4,63.0,138147.0,3.0,Comedy,Music,Music,Anna Kendrick,Rebel Wilson,Hailee Steinfeld,0.0,9.0,16.0,115.0,29000000.0,287144079.0,2015
The Gift,7.0,77.0,133366.0,1.0,Drama,Mystery,Thriller,Jason Bateman,Rebecca Hall,Joel Edgerton,0.0,2.0,12.0,108.0,5000000.0,58980521.0,2015
Pixels,5.5,27.0,127630.0,3.0,Action,Comedy,Fantasy,Adam Sandler,Kevin James,Michelle Monaghan,0.0,4.0,9.0,105.0,88000000.0,244874809.0,2015
Trainwreck,6.2,75.0,126829.0,1.0,Comedy,Drama,Romance,Amy Schumer,Bill Hader,Brie Larson,2.0,5.0,525.0,125.0,35000000.0,140795793.0,2015
Brooklyn,7.5,88.0,126362.0,3.0,Drama,Romance,Romance,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,3.0,39.0,39153.0,117.0,11000000.0,62076141.0,2015
Crimson Peak,6.5,66.0,125807.0,1.0,Drama,Fantasy,Horror,Mia Wasikowska,Jessica Chastain,Tom Hiddleston,0.0,6.0,41.0,119.0,55000000.0,74679822.0,2015
Joy,6.6,56.0,124524.0,3.0,Biography,Drama,Drama,Jennifer Lawrence,Robert De Niro,Bradley Cooper,1.0,8.0,822.0,124.0,60000000.0,101134059.0,2015
Me and Earl and the Dying Girl,7.7,74.0,119483.0,3.0,Comedy,Drama,Drama,Thomas Mann,RJ Cyler,Olivia Cooke,0.0,17.0,29.0,105.0,8000000.0,9074749.0,2015
Get Hard,6.0,34.0,118675.0,1.0,Comedy,Crime,Crime,Will Ferrell,Kevin Hart,Alison Brie,0.0,0.0,2.0,100.0,40000000.0,111711453.0,2015
In the Heart of the Sea,6.9,47.0,116450.0,3.0,Action,Adventure,Biography,Chris Hemsworth,Cillian Murphy,Brendan Gleeson,0.0,1.0,5.0,122.0,100000000.0,93920758.0,2015
The Walk,7.3,70.0,116363.0,2.0,Adventure,Biography,Drama,Joseph Gordon-Levitt,Charlotte Le Bon,Guillaume Baillargeon,0.0,3.0,17.0,123.0,35000000.0,61181942.0,2015
Carol,7.2,94.0,110153.0,1.0,Drama,Romance,Romance,Cate Blanchett,Rooney Mara,Sarah Paulson,6.0,76.0,76240.0,118.0,11800000.0,40272135.0,2015
The Visit,6.2,55.0,109361.0,3.0,Horror,Mystery,Thriller,Olivia DeJonge,Ed Oxenbould,Deanna Dunagan,0.0,1.0,14.0,94.0,5000000.0,98450062.0,2015
Daddy's Home,6.2,42.0,104426.0,3.0,Comedy,Family,Family,Will Ferrell,Mark Wahlberg,Linda Cardellini,0.0,1.0,4.0,96.0,50000000.0,242786137.0,2015
Burnt,6.6,42.0,102628.0,1.0,Comedy,Drama,Drama,Bradley Cooper,Sienna Miller,Daniel Brühl,0.0,6.0,1.0,101.0,20000000.0,36606743.0,2015
Hotel Transylvania 2,6.7,44.0,102208.0,2.0,Animation,Comedy,Family,Adam Sandler,Andy Samberg,Selena Gomez,0.0,1.0,10.0,89.0,80000000.0,474800000.0,2015
Green Room,7.0,79.0,101870.0,1.0,Horror,Music,Thriller,Anton Yelchin,Imogen Poots,Alia Shawkat,0.0,9.0,24.0,95.0,5000000.0,3769214.0,2015
Run All Night,6.6,59.0,99153.0,1.0,Action,Crime,Drama,Liam Neeson,Ed Harris,Joel Kinnaman,0.0,0.0,0.0,114.0,50000000.0,71561644.0,2015
The Good Dinosaur,6.7,66.0,98230.0,2.0,Animation,Adventure,Comedy,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla,1.0,9.0,940.0,93.0,200000000.0,332207671.0,2015
Vacation,6.1,34.0,94790.0,1.0,Adventure,Comedy,Comedy,Ed Helms,Christina Applegate,Skyler Gisondo,0.0,1.0,3.0,99.0,31000000.0,107228221.0,2015
Paper Towns,6.3,56.0,92682.0,3.0,Comedy,Drama,Mystery,Nat Wolff,Cara Delevingne,Austin Abrams,0.0,4.0,3.0,109.0,12000000.0,85512300.0,2015
The Last Witch Hunter,6.0,34.0,92070.0,3.0,Action,Adventure,Fantasy,Vin Diesel,Rose Leslie,Elijah Wood,0.0,0.0,1.0,106.0,90000000.0,146936910.0,2015
Insidious: Chapter 3,6.1,52.0,89709.0,3.0,Horror,Mystery,Thriller,Dermot Mulroney,Stefanie Scott,Angus Sampson,0.0,3.0,10.0,97.0,10000000.0,112983889.0,2015
Home,6.6,55.0,89596.0,2.0,Animation,Adventure,Comedy,Jim Parsons,Rihanna,Steve Martin,0.0,3.0,9.0,94.0,135000000.0,386041607.0,2015
Self/less,6.5,34.0,86805.0,3.0,Action,Mystery,Sci-Fi,Ryan Reynolds,Natalie Martinez,Matthew Goode,0.0,0.0,0.0,117.0,26000000.0,31807156.0,2015
Demolition,7.0,49.0,85321.0,1.0,Comedy,Drama,Drama,Jake Gyllenhaal,Naomi Watts,Chris Cooper,0.0,1.0,2.0,101.0,10000000.0,4366460.0,2015
Hitman: Agent 47,5.7,28.0,83749.0,1.0,Action,Crime,Thriller,Rupert Friend,Hannah Ware,Zachary Quinto,0.0,0.0,2.0,96.0,35000000.0,82347656.0,2015
Hardcore Henry,6.7,51.0,83626.0,1.0,Action,Adventure,Sci-Fi,Sharlto Copley,Tim Roth,Haley Bennett,0.0,1.0,1.0,96.0,2000000.0,16810562.0,2015
Concussion,7.1,55.0,83266.0,3.0,Biography,Drama,Sport,Will Smith,Alec Baldwin,Albert Brooks,1.0,4.0,415.0,123.0,35000000.0,48623572.0,2015
American Ultra,6.1,50.0,81953.0,1.0,Action,Comedy,Comedy,Jesse Eisenberg,Kristen Stewart,Connie Britton,0.0,0.0,0.0,96.0,28000000.0,27262374.0,2015
Eddie the Eagle,7.4,54.0,81903.0,3.0,Biography,Comedy,Drama,Taron Egerton,Hugh Jackman,Tom Costello,0.0,2.0,8.0,106.0,23000000.0,46152800.0,2015
The Duff,6.5,56.0,80203.0,3.0,Comedy,Romance,Romance,Mae Whitman,Bella Thorne,Robbie Amell,0.0,1.0,8.0,101.0,8500000.0,43709744.0,2015
Dope,7.2,72.0,79329.0,1.0,Comedy,Crime,Drama,Shameik Moore,Tony Revolori,Kiersey Clemons,0.0,6.0,23.0,103.0,7000000.0,17986781.0,2015
Goosebumps,6.3,60.0,77823.0,2.0,Adventure,Comedy,Family,Jack Black,Dylan Minnette,Odeya Rush,0.0,0.0,4.0,103.0,58000000.0,158260952.0,2015
Eye in the Sky,7.3,73.0,76599.0,1.0,Action,Drama,Thriller,Helen Mirren,Aaron Paul,Alan Rickman,0.0,3.0,10.0,102.0,13000000.0,35259653.0,2015
Knock Knock,4.9,53.0,75502.0,1.0,Drama,Thriller,Thriller,Keanu Reeves,Lorenza Izzo,Ana de Armas,0.0,0.0,0.0,99.0,2500000.0,5567103.0,2015
No Escape,6.8,38.0,75480.0,1.0,Action,Thriller,Thriller,Lake Bell,Pierce Brosnan,Owen Wilson,0.0,2.0,1.0,103.0,16200000.0,54418872.0,2015
Entourage,6.6,38.0,74513.0,1.0,Comedy,Comedy,Comedy,Adrian Grenier,Kevin Connolly,Jerry Ferrara,0.0,0.0,0.0,104.0,30000000.0,49263404.0,2015
Project Almanac,6.4,47.0,74409.0,3.0,Drama,Mystery,Sci-Fi,Amy Landecker,Sofia Black-D'Elia,Virginia Gardner,0.0,0.0,0.0,106.0,12000000.0,33213241.0,2015
The Longest Ride,7.1,33.0,74365.0,3.0,Drama,Romance,Romance,Scott Eastwood,Britt Robertson,Alan Alda,0.0,1.0,5.0,123.0,34000000.0,62944815.0,2015
Trumbo,7.5,60.0,73618.0,1.0,Biography,Drama,Drama,Bryan Cranston,Diane Lane,Helen Mirren,1.0,8.0,843.0,124.0,15000000.0,11430025.0,2015
The Wedding Ringer,6.6,35.0,69466.0,1.0,Comedy,Comedy,Comedy,Kevin Hart,Josh Gad,Kaley Cuoco,0.0,2.0,4.0,101.0,23000000.0,79799880.0,2015
Youth,7.3,64.0,69066.0,1.0,Comedy,Drama,Music,Michael Caine,Harvey Keitel,Rachel Weisz,1.0,20.0,2055.0,124.0,12300000.0,23459358.0,2015
Mortdecai,5.5,27.0,64978.0,1.0,Action,Adventure,Comedy,Johnny Depp,Gwyneth Paltrow,Ewan McGregor,0.0,1.0,8.0,107.0,60000000.0,47275695.0,2015
Child 44,6.5,41.0,63594.0,1.0,Crime,Drama,History,Tom Hardy,Gary Oldman,Noomi Rapace,0.0,0.0,2.0,137.0,50000000.0,12951093.0,2015
The Night Before,6.4,58.0,62874.0,1.0,Comedy,Fantasy,Fantasy,Joseph Gordon-Levitt,Seth Rogen,Jillian Bell,0.0,0.0,2.0,101.0,25000000.0,52395996.0,2015
Anomalisa,7.3,88.0,62767.0,1.0,Animation,Comedy,Drama,David Thewlis,Jennifer Jason Leigh,Tom Noonan,1.0,25.0,2576.0,90.0,8000000.0,5659286.0,2015
Sisters,6.0,58.0,61463.0,1.0,Comedy,Comedy,Comedy,Amy Poehler,Tina Fey,Maya Rudolph,0.0,0.0,4.0,118.0,30000000.0,105011053.0,2015
True Story,6.3,50.0,60563.0,1.0,Crime,Drama,Mystery,James Franco,Jonah Hill,Felicity Jones,0.0,0.0,4.0,99.0,43819528.982781656,5261595.0,2015
Mr. Holmes,6.9,67.0,60205.0,2.0,Drama,Mystery,Mystery,Ian McKellen,Laura Linney,Hiroyuki Sanada,0.0,0.0,17.0,104.0,11000000.0,29355203.0,2015
Aloha,5.4,40.0,59960.0,3.0,Comedy,Drama,Romance,Bradley Cooper,Rachel McAdams,Emma Stone,0.0,2.0,7.0,105.0,37000000.0,26250020.0,2015
Krampus,6.1,49.0,59742.0,3.0,Comedy,Drama,Fantasy,Adam Scott,Toni Collette,David Koechner,0.0,4.0,14.0,98.0,15000000.0,61548707.0,2015
Pan,5.7,36.0,58593.0,2.0,Adventure,Comedy,Family,Levi Miller,Hugh Jackman,Garrett Hedlund,0.0,0.0,8.0,111.0,150000000.0,128388320.0,2015
Point Break,5.3,34.0,56773.0,3.0,Action,Crime,Sport,Edgar Ramírez,Luke Bracey,Ray Winstone,0.0,2.0,3.0,114.0,105000000.0,133718711.0,2015
Irrational Man,6.6,53.0,56304.0,1.0,Comedy,Drama,Romance,Joaquin Phoenix,Emma Stone,Parker Posey,0.0,0.0,2.0,95.0,11000000.0,27391084.0,2015
The Little Prince,7.7,70.0,54329.0,2.0,Animation,Adventure,Drama,Jeff Bridges,Mackenzie Foy,Rachel McAdams,0.0,6.0,14.0,108.0,81200000.0,97571250.0,2015
Poltergeist,4.9,47.0,53865.0,3.0,Horror,Thriller,Thriller,Sam Rockwell,Rosemarie DeWitt,Kennedi Clements,0.0,1.0,6.0,93.0,35000000.0,95437994.0,2015
Solace,6.4,36.0,53644.0,1.0,Crime,Drama,Mystery,Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish,0.0,0.0,1.0,101.0,43819528.982781656,22354572.0,2015
Woman in Gold,7.3,51.0,52009.0,3.0,Biography,Drama,History,Helen Mirren,Ryan Reynolds,Daniel Brühl,0.0,0.0,6.0,109.0,11000000.0,61619773.0,2015
Macbeth,6.6,71.0,51572.0,1.0,Drama,History,War,Michael Fassbender,Marion Cotillard,Jack Madigan,0.0,3.0,23.0,113.0,15000000.0,16322067.0,2015
The Dressmaker,7.1,47.0,50872.0,1.0,Comedy,Drama,Drama,Kate Winslet,Judy Davis,Liam Hemsworth,0.0,15.0,38.0,119.0,17000000.0,23762417.0,2015
Blackhat,5.4,51.0,50835.0,1.0,Action,Crime,Thriller,Chris Hemsworth,Viola Davis,Wei Tang,0.0,1.0,5.0,133.0,70000000.0,19652057.0,2015
Magic Mike XXL,5.6,60.0,50800.0,1.0,Comedy,Drama,Music,Channing Tatum,Joe Manganiello,Matt Bomer,0.0,2.0,5.0,115.0,14800000.0,117813057.0,2015
Victor Frankenstein,6.0,36.0,50657.0,3.0,Drama,Horror,Sci-Fi,Daniel Radcliffe,James McAvoy,Jessica Brown Findlay,0.0,4.0,1.0,110.0,65000000.0,34227298.0,2015
Wild Card,5.6,40.0,49619.0,1.0,Action,Crime,Drama,Jason Statham,Michael Angarano,Dominik Garcia,0.0,0.0,0.0,92.0,30000000.0,6738764.0,2015
The Man Who Knew Infinity,7.2,56.0,48690.0,3.0,Biography,Drama,Drama,Dev Patel,Jeremy Irons,Malcolm Sinclair,0.0,1.0,1.0,108.0,10000000.0,12252684.0,2015
Mr. Right,6.3,52.0,48240.0,1.0,Action,Comedy,Romance,Anna Kendrick,Sam Rockwell,Tim Roth,0.0,0.0,2.0,95.0,8000000.0,607595.0,2015
Man Up,6.8,69.0,47363.0,1.0,Comedy,Drama,Romance,Lake Bell,Rory Kinnear,Ken Stott,0.0,0.0,0.0,88.0,43819528.982781656,6135977.0,2015
Hot Pursuit,5.1,31.0,47121.0,3.0,Action,Comedy,Crime,Reese Witherspoon,Sofía Vergara,Matthew Del Negro,0.0,0.0,4.0,87.0,35000000.0,51380201.0,2015
Amy,7.8,85.0,47012.0,1.0,Documentary,Biography,Music,Amy Winehouse,Mitch Winehouse,Mark Ronson,1.0,50.0,5046.0,128.0,43819528.982781656,23706049.0,2015
The SpongeBob Movie: Sponge Out of Water,6.0,62.0,46901.0,2.0,Animation,Adventure,Comedy,Tom Kenny,Antonio Banderas,Bill Fagerbakke,0.0,1.0,9.0,92.0,74000000.0,325186032.0,2015
Sinister 2,5.3,32.0,46230.0,1.0,Horror,Mystery,Thriller,James Ransone,Shannyn Sossamon,Robert Daniel Sloan,0.0,1.0,3.0,97.0,10000000.0,53329150.0,2015
Ip Man 3,7.1,57.0,45842.0,3.0,Action,Biography,Drama,Donnie Yen,Lynn Xiong,Jin Zhang,0.0,5.0,21.0,105.0,36000000.0,157029618.0,2015
Colonia,7.1,33.0,45682.0,1.0,Biography,Drama,History,Emma Watson,Daniel Brühl,Michael Nyqvist,0.0,1.0,9.0,110.0,14000000.0,3621046.0,2015
A Man Called Ove,7.7,70.0,44144.0,3.0,Comedy,Drama,Romance,Rolf Lassgård,Bahar Pars,Filip Berg,2.0,14.0,1424.0,116.0,43819528.982781656,30691696.0,2015
Far from the Madding Crowd,7.1,71.0,43410.0,3.0,Drama,Romance,Romance,Carey Mulligan,Matthias Schoenaerts,Michael Sheen,0.0,2.0,11.0,119.0,12000000.0,30229977.0,2015
Scouts Guide to the Zombie Apocalypse,6.3,32.0,43387.0,1.0,Action,Comedy,Horror,Tye Sheridan,Logan Miller,Joey Morgan,0.0,0.0,5.0,93.0,15000000.0,16137046.0,2015
Son of Saul,7.5,91.0,43268.0,1.0,Drama,War,War,Géza Röhrig,Levente Molnár,Urs Rechn,1.0,62.0,6259.0,107.0,1500000.0,6659121.0,2015
Secret in Their Eyes,6.3,45.0,41289.0,3.0,Crime,Drama,Mystery,Chiwetel Ejiofor,Nicole Kidman,Julia Roberts,0.0,2.0,3.0,111.0,19500000.0,34854990.0,2015
Slow West,6.9,72.0,41187.0,1.0,Action,Adventure,Drama,Kodi Smit-McPhee,Caren Pistorius,Aorere Paki,0.0,7.0,18.0,84.0,2000000.0,1295574.0,2015
Maggie,5.6,52.0,40996.0,3.0,Drama,Horror,Horror,Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,0.0,1.0,4.0,95.0,43819528.982781656,1663165.0,2015
Dark Places,6.2,39.0,40625.0,1.0,Action,Drama,Mystery,Charlize Theron,Nicholas Hoult,Christina Hendricks,0.0,0.0,0.0,113.0,20000000.0,5090852.0,2015
The Lazarus Effect,5.2,31.0,39982.0,3.0,Horror,Mystery,Sci-Fi,Olivia Wilde,Mark Duplass,Evan Peters,0.0,0.0,2.0,83.0,3300000.0,38356892.0,2015
Sleeping with Other People,6.5,64.0,39048.0,1.0,Comedy,Drama,Romance,Jason Sudeikis,Alison Brie,Jordan Carlos,0.0,0.0,2.0,101.0,43819528.982781656,3224947.0,2015
Last Knights,6.2,27.0,38220.0,1.0,Action,Drama,History,Clive Owen,Morgan Freeman,Aksel Hennie,0.0,0.0,0.0,115.0,40000000.0,1797955.0,2015
Absolutely Anything,6.0,31.0,38141.0,1.0,Comedy,Sci-Fi,Sci-Fi,Simon Pegg,Kate Beckinsale,Sanjeev Bhaskar,0.0,0.0,0.0,85.0,43819528.982781656,6303792.0,2015
The Transporter Refuelled,5.2,32.0,38084.0,3.0,Action,Adventure,Thriller,Ed Skrein,Loan Chabanol,Ray Stevenson,0.0,0.0,0.0,96.0,25000000.0,72629670.0,2015
The Gunman,5.8,39.0,37952.0,1.0,Action,Crime,Drama,Sean Penn,Idris Elba,Jasmine Trinca,0.0,0.0,1.0,115.0,40000000.0,24177137.0,2015
The Boy Next Door,4.7,30.0,36987.0,1.0,Horror,Thriller,Thriller,Jennifer Lopez,Ryan Guzman,Kristin Chenoweth,0.0,1.0,6.0,91.0,4000000.0,52425855.0,2015
Suffragette,6.9,66.0,36821.0,3.0,Drama,History,History,Carey Mulligan,Anne-Marie Duff,Helena Bonham Carter,0.0,17.0,15.0,106.0,14000000.0,31972096.0,2015
High-Rise,5.6,65.0,36491.0,1.0,Drama,Sci-Fi,Sci-Fi,Tom Hiddleston,Jeremy Irons,Sienna Miller,0.0,4.0,13.0,119.0,43819528.982781656,4289074.0,2015
Hot Tub Time Machine 2,5.1,29.0,36056.0,1.0,Comedy,Mystery,Sci-Fi,Rob Corddry,Craig Robinson,Clark Duke,0.0,0.0,2.0,93.0,14000000.0,13081651.0,2015
Regression,5.7,32.0,35918.0,1.0,Crime,Drama,Mystery,Ethan Hawke,David Thewlis,Emma Watson,0.0,1.0,2.0,106.0,43819528.982781656,17671101.0,2015
Shaun the Sheep Movie,7.3,81.0,35887.0,2.0,Animation,Adventure,Comedy,Justin Fletcher,John Sparkes,Omid Djalili,1.0,4.0,448.0,85.0,25000000.0,106209378.0,2015
The Stanford Prison Experiment,6.9,67.0,35512.0,1.0,Biography,Drama,History,Ezra Miller,Tye Sheridan,Billy Crudup,0.0,4.0,3.0,122.0,43819528.982781656,663114.0,2015
We Are Your Friends,6.2,46.0,34776.0,1.0,Drama,Music,Romance,Zac Efron,Wes Bentley,Emily Ratajkowski,0.0,0.0,0.0,96.0,2000000.0,11122090.0,2015
The 33,6.9,55.0,34515.0,3.0,Biography,Drama,History,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,0.0,8.0,7.0,127.0,26000000.0,27972023.0,2015
Mustang,7.6,83.0,34079.0,3.0,Drama,Drama,Drama,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,1.0,44.0,4460.0,97.0,1300000.0,5274664.0,2015
Paul Blart: Mall Cop 2,4.4,13.0,33129.0,2.0,Action,Comedy,Crime,Kevin James,Raini Rodriguez,Eduardo Verástegui,0.0,1.0,9.0,94.0,30000000.0,107588225.0,2015
Land of Mine,7.8,75.0,32935.0,1.0,Drama,History,War,Roland Møller,Louis Hofmann,Joel Basman,1.0,29.0,2925.0,100.0,35500000.0,3169553.0,2015
